base_fond,science_fond,ams,n_buildings,n_days,guests,employees
0.8718949692549707,0.6817443930210555,0.0,0.0,0.938634901808634,0.48055002823772014,0.46509316631405806
0.6652127028833865,0.7052334060587957,0.22079402165819617,0.3090870902925473,0.9454969253952177,0.7722538690482573,0.5935819919280985
0.8192254527114888,0.6233676343043562,0.0,0.0,0.8601343461580133,0.557937342091552,0.46509316631405806
-0.22049618352772926,0.58059116476795,0.129640528642345,0.0,0.9941210145229391,0.6670095637619855,0.3705117131325855
0.40749967342826776,0.7211469560500527,0.10300485425454471,0.07779308082142294,0.8601343461580133,0.3449678694119336,0.258976573734829
0.695033062612148,0.7046026219691346,0.11923366415013281,0.0,0.8700738898480012,0.38761603311350945,0.17677901345815084
-1.3124385408315369,0.42075764958936035,0.0,0.0,0.9316378789706583,0.8141992776048703,0.5418355874832054
-0.2304005502146348,0.5280748367285837,0.11230909728661047,0.0,0.8700738898480012,0.16577779359300654,0.11153513939775646
0.20002032920497456,0.6386695182573189,0.06413527370592047,0.13748581121372921,0.9409369844308109,0.4983225577361795,0.48204685253034196
-0.7874432779409679,0.5610326493578655,0.0,0.0,0.8851527404975081,0.29339369426810236,0.17677901345815084
-0.9690903163819167,0.3987797379067753,0.0,0.13748581121372921,0.8891565785397137,0.4991633862164863,0.3858481878217172
-0.05367242160000241,0.6771752393762119,0.0,0.0,0.9257000027701516,0.2875368091049901,0.11153513939775646
1.5498552468335243,0.7611859106101306,0.5198910142199676,0.1878091107778656,0.8742501083583214,0.4708997047760324,0.6326747512401572
1.274849155776933,0.7028039787207515,0.13540064007726602,0.23214482771523032,0.9522290605788504,0.5815460078211601,0.33460541819326933
-0.36824465697006836,0.30221673762238277,0.0,0.0,0.6033770067563153,0.0,0.0
0.05568890533501645,0.724122907426758,0.0,0.0,0.9522290605788504,0.6254144262685527,0.5113844316514202
1.04765738326654,0.7987004035430594,0.39979161238491906,0.1878091107778656,0.938634901808634,0.4991633862164863,0.5242641991936178
1.0293677510321426,0.5118798696316496,0.0,0.07779308082142294,0.943224262560761,0.5105107521986066,0.424653861968429
